Gemeindecode,Gemeindename,Punkte Waldanteil,Punkte Neue Wohnungen,Punkte Rotanteil Wappen,Punkte Gelbanteil Wappen,Punkte Anzahl Hunde pro Einwohner,Punkte Anzahl Restaurants pro Einwohner,Gesamtpunkte,Rang
1007,Romoos,100,100,100,98,100,100,99.66666666666667,1
1010,Escholzmatt-Marbach,34,0,66,100,21,12,38.833333333333336,2
1129,Fischbach,0,100,0,100,32,0,38.666666666666664,3
1068,Vitznau,70,0,82,8,1,69,38.333333333333336,4
1121,Alberswil,0,0,88,98,7,24,36.166666666666664,5
1150,Zell,0,100,74,28,12,0,35.666666666666664,6
1151,Willisau,0,0,100,100,1,12,35.5,7
1086,Grosswangen,0,0,87,100,24,0,35.166666666666664,8
1001,Doppleschwand,0,76,10,98,7,0,31.833333333333332,9
1058,Horw,11,0,88,89,0,0,31.333333333333332,10
1085,Geuensee,0,75,99,13,0,0,31.166666666666668,11
1056,Greppen,0,100,78,0,7,0,30.833333333333332,12
1107,Wolhusen,0,0,85,93,0,0,29.666666666666668,13
1026,Eschenbach,0,78,0,100,0,0,29.666666666666668,14
1137,Nebikon,3,0,63,98,0,0,27.333333333333332,15
1025,Ermensee,0,0,78,71,13,0,27.0,16
1102,Sempach,0,0,80,73,0,0,25.5,17
1135,Luthern,35,0,0,15,59,41,25.0,18
1131,Grossdietwil,0,0,100,0,49,0,24.833333333333332,19
1082,Büron,0,77,71,0,0,0,24.666666666666668,20
1065,Root,0,0,93,55,0,0,24.666666666666668,21
1069,Weggis,0,75,59,0,4,8,24.333333333333332,22
1039,Römerswil,0,100,17,0,22,0,23.166666666666668,23
1098,Ruswil,0,0,42,89,0,0,21.833333333333332,24
1081,Beromünster,0,0,53,66,10,0,21.5,25
1021,Aesch,0,0,100,0,27,0,21.166666666666668,26
1084,Eich,0,0,8,96,13,0,19.5,27
1066,Schwarzenberg,71,0,0,0,22,22,19.166666666666668,28
1053,Dierikon,0,100,0,5,0,7,18.666666666666668,29
1004,Flühli,0,0,27,0,20,60,17.833333333333332,30
1142,Roggliswil,0,74,0,0,33,0,17.833333333333332,31
1002,Entlebuch,18,0,49,0,29,9,17.5,32
1088,Hildisrieden,0,0,88,10,7,0,17.5,33
1040,Rothenburg,0,0,100,5,0,0,17.5,34
1041,Schongau,0,0,65,1,32,0,16.333333333333332,35
1089,Knutwil,0,0,95,0,2,0,16.166666666666668,36
1125,Dagmersellen,0,0,67,30,0,0,16.166666666666668,37
1009,Werthenstein,0,0,82,0,15,0,16.166666666666668,38
1103,Sursee,0,0,75,0,0,19,15.666666666666666,39
1147,Wikon,59,0,3,2,29,0,15.5,40
1032,Hohenrain,0,0,79,0,12,0,15.166666666666666,41
1033,Inwil,0,0,90,0,0,0,15.0,42
1024,Emmen,0,89,0,0,0,0,14.833333333333334,43
1052,Buchrain,0,0,0,88,0,0,14.666666666666666,44
1094,Nottwil,0,0,82,0,0,0,13.666666666666666,45
1123,Altishofen,0,0,12,63,7,0,13.666666666666666,46
1104,Triengen,0,0,68,0,14,0,13.666666666666666,47
1031,Hochdorf,0,0,81,0,0,0,13.5,48
1037,Rain,0,0,80,0,0,0,13.333333333333334,49
1140,Reiden,0,0,80,0,0,0,13.333333333333334,50
1093,Neuenkirch,0,0,80,0,0,0,13.333333333333334,51
1146,Wauwil,0,0,49,31,0,0,13.333333333333334,52
1051,Adligenswil,0,0,0,80,0,0,13.333333333333334,53
1136,Menznau,0,0,75,0,2,0,12.833333333333334,54
1099,Schenkon,0,0,75,0,2,0,12.833333333333334,55
1008,Schüpfheim,0,0,60,0,11,0,11.833333333333334,56
1054,Ebikon,0,0,70,0,0,0,11.666666666666666,57
1055,Gisikon,0,0,0,60,7,0,11.166666666666666,58
1059,Kriens,53,0,0,12,0,0,10.833333333333334,59
1132,Hergiswil bei Willisau,0,0,4,8,51,0,10.5,60
1083,Buttisholz,0,0,58,0,0,0,9.666666666666666,61
1061,Luzern,0,0,0,32,0,21,8.833333333333334,62
1122,Altbüron,0,0,27,0,21,0,8.0,63
1139,Pfaffnau,0,0,0,22,21,0,7.166666666666667,64
1005,Hasle,3,0,0,0,24,12,6.5,65
1145,Ufhusen,0,0,0,0,29,0,4.833333333333333,66
1064,Meierskappel,0,0,0,11,15,0,4.333333333333333,67
1097,Rickenbach,0,0,0,0,22,0,3.6666666666666665,68
1128,Ettiswil,0,0,0,0,4,16,3.3333333333333335,69
1030,Hitzkirch,0,0,0,0,16,0,2.6666666666666665,70
1127,Egolzwil,0,0,0,8,4,0,2.0,71
1057,Honau,0,0,0,0,11,0,1.8333333333333333,72
1091,Mauensee,0,0,0,0,10,0,1.6666666666666667,73
1143,Schötz,0,0,0,0,10,0,1.6666666666666667,74
1063,Meggen,0,0,0,8,0,0,1.3333333333333333,75
1062,Malters,0,0,0,7,0,0,1.1666666666666667,76
1100,Schlierbach,0,0,0,0,6,0,1.0,77
1067,Udligenswil,0,0,1,0,0,0,0.16666666666666666,78
1023,Ballwil,0,0,0,0,0,0,0.0,79
1095,Oberkirch,0,0,0,0,0,0,0.0,80
